"Country","Date","Statistic","Value"
"Sierra Leone",2014-10-15,"Cases",3252
"Sierra Leone",2014-10-15,"Deaths",1183
"Guinea",2014-10-17,"Cases",1519
"Guinea",2014-10-17,"Deaths",862
"Nigeria",2014-10-17,"Cases",20
"Nigeria",2014-10-17,"Deaths",8
"Spain",2014-10-17,"Cases",1
"Spain",2014-10-17,"Deaths",0
"Senegal",2014-10-17,"Cases",1
"Senegal",2014-10-17,"Deaths",0
"United States of America",2014-10-17,"Cases",3
"United States of America",2014-10-17,"Deaths",1
"Liberia",2014-10-17,"Cases",4262
"Liberia",2014-10-17,"Deaths",2484
"Sierra Leone",2014-10-17,"Cases",3410
"Sierra Leone",2014-10-17,"Deaths",1200
"Nigeria",2014-10-22,"Cases",20
"Nigeria",2014-10-22,"Deaths",8
"Spain",2014-10-22,"Cases",1
"Spain",2014-10-22,"Deaths",0
"United States of America",2014-10-22,"Cases",3
"United States of America",2014-10-22,"Deaths",1
"Sierra Leone",2014-10-22,"Cases",3706
"Sierra Leone",2014-10-22,"Deaths",1259
"Senegal",2014-10-22,"Cases",1
"Senegal",2014-10-22,"Deaths",0
"Liberia",2014-10-22,"Cases",4665
"Liberia",2014-10-22,"Deaths",2705
"Guinea",2014-10-22,"Cases",1540
"Guinea",2014-10-22,"Deaths",904
"Mali",2014-10-25,"Cases",1
"Mali",2014-10-25,"Deaths",1
"United States of America",2014-10-25,"Cases",4
"United States of America",2014-10-25,"Deaths",1
"Sierra Leone",2014-10-25,"Cases",3896
"Sierra Leone",2014-10-25,"Deaths",1281
"Spain",2014-10-25,"Cases",1
"Spain",2014-10-25,"Deaths",0
"Senegal",2014-10-25,"Cases",1
"Senegal",2014-10-25,"Deaths",0
"Nigeria",2014-10-25,"Cases",20
"Nigeria",2014-10-25,"Deaths",8
"Guinea",2014-10-25,"Cases",1553
"Guinea",2014-10-25,"Deaths",926
"Liberia",2014-10-25,"Cases",4665
"Liberia",2014-10-25,"Deaths",2705
"Liberia",2014-10-29,"Cases",6535
