"Country","Date","Statistic","Value"
"Nigeria",2015-01-14,"Deaths",8
"Sierra Leone",2015-01-14,"Cases",10124
"Sierra Leone",2015-01-14,"Deaths",3062
"Mali",2015-01-14,"Cases",8
"Mali",2015-01-14,"Deaths",6
"United Kingdom",2015-01-14,"Cases",1
"United Kingdom",2015-01-14,"Deaths",0
"Sierra Leone",2015-01-15,"Cases",10150
"Sierra Leone",2015-01-15,"Deaths",3067
"Liberia",2015-01-15,"Cases",8362
"Liberia",2015-01-15,"Deaths",3556
"United States of America",2015-01-15,"Cases",4
"United States of America",2015-01-15,"Deaths",1
"Mali",2015-01-15,"Cases",8
"Mali",2015-01-15,"Deaths",6
"Spain",2015-01-15,"Cases",1
"Spain",2015-01-15,"Deaths",0
"Guinea",2015-01-15,"Cases",2817
"Guinea",2015-01-15,"Deaths",1821
"United Kingdom",2015-01-15,"Cases",1
"United Kingdom",2015-01-15,"Deaths",0
"Nigeria",2015-01-15,"Cases",20
"Nigeria",2015-01-15,"Deaths",8
"Senegal",2015-01-15,"Cases",1
"Senegal",2015-01-15,"Deaths",0
"Spain",2015-01-16,"Cases",1
"Spain",2015-01-16,"Deaths",0
"Nigeria",2015-01-16,"Cases",20
"Nigeria",2015-01-16,"Deaths",8
"Guinea",2015-01-16,"Cases",2825
"Guinea",2015-01-16,"Deaths",1829
"Mali",2015-01-16,"Cases",8
"Mali",2015-01-16,"Deaths",6
"Senegal",2015-01-16,"Cases",1
"Senegal",2015-01-16,"Deaths",0
"Liberia",2015-01-16,"Cases",8362
"Liberia",2015-01-16,"Deaths",3556
"United States of America",2015-01-16,"Cases",4
"United States of America",2015-01-16,"Deaths",1
"Sierra Leone",2015-01-16,"Cases",10186
"Sierra Leone",2015-01-16,"Deaths",3083
"United Kingdom",2015-01-16,"Cases",1
"United Kingdom",2015-01-16,"Deaths",0
"Nigeria",2015-01-19,"Cases",20
"Nigeria",2015-01-19,"Deaths",8
"Liberia",2015-01-19,"Cases",8435
"Liberia",2015-01-19,"Deaths",3587
"United Kingdom",2015-01-19,"Cases",1
"United Kingdom",2015-01-19,"Deaths",0
"Spain",2015-01-19,"Cases",1
"Spain",2015-01-19,"Deaths",0
"Guinea",2015-01-19,"Cases",2873
"Guinea",2015-01-19,"Deaths",1875
"Sierra Leone",2015-01-19,"Cases",10306
"Sierra Leone",2015-01-19,"Deaths",3132
"Senegal",2015-01-19,"Cases",1
"Senegal",2015-01-19,"Deaths",0
"United States of America",2015-01-19,"Cases",4
"United States of America",2015-01-19,"Deaths",1
"Mali",2015-01-19,"Cases",8
"Mali",2015-01-19,"Deaths",6
"Spain",2015-01-20,"Cases",1
"Spain",2015-01-20,"Deaths",0
"United Kingdom",2015-01-20,"Cases",1
"United Kingdom",2015-01-20,"Deaths",0
"Senegal",2015-01-20,"Cases",1
"Senegal",2015-01-20,"Deaths",0
"Nigeria",2015-01-20,"Cases",20
"Nigeria",2015-01-20,"Deaths",8
"Liberia",2015-01-20,"Cases",8478
"Liberia",2015-01-20,"Deaths",3605
"Guinea",2015-01-20,"Cases",2871
"Guinea",2015-01-20,"Deaths",1876
"Mali",2015-01-20,"Cases",8
"Mali",2015-01-20,"Deaths",6
"United States of America",2015-01-20,"Cases",4
"United States of America",2015-01-20,"Deaths",1
"Sierra Leone",2015-01-20,"Cases",10340
"Sierra Leone",2015-01-20,"Deaths",3145
"Sierra Leone",2015-01-21,"Cases",10340
"Sierra Leone",2015-01-21,"Deaths",3145
"Nigeria",2015-01-21,"Cases",20
"Nigeria",2015-01-21,"Deaths",8
"Liberia",2015-01-21,"Cases",8478
"Liberia",2015-01-21,"Deaths",3605
"Spain",2015-01-21,"Cases",1
"Spain",2015-01-21,"Deaths",0
"Mali",2015-01-21,"Cases",8
"Mali",2015-01-21,"Deaths",6
"Senegal",2015-01-21,"Cases",1
"Senegal",2015-01-21,"Deaths",0
"United States of America",2015-01-21,"Cases",4
"United States of America",2015-01-21,"Deaths",1
"Guinea",2015-01-21,"Cases",2871
"Guinea",2015-01-21,"Deaths",1876
"United Kingdom",2015-01-21,"Cases",1
"United Kingdom",2015-01-21,"Deaths",0
"Liberia",2015-01-22,"Cases",8524
"Liberia",2015-01-22,"Deaths",3636
"Senegal",2015-01-22,"Cases",1
"Senegal",2015-01-22,"Deaths",0
"United States of America",2015-01-22,"Cases",4
"United States of America",2015-01-22,"Deaths",1
"Nigeria",2015-01-22,"Cases",20
"Nigeria",2015-01-22,"Deaths",8
"Sierra Leone",2015-01-22,"Cases",10362
"Sierra Leone",2015-01-22,"Deaths",3153
"Mali",2015-01-22,"Cases",8
"Mali",2015-01-22,"Deaths",6
"Guinea",2015-01-22,"Cases",2873
"Guinea",2015-01-22,"Deaths",1879
"Spain",2015-01-22,"Cases",1
"Spain",2015-01-22,"Deaths",0
"United Kingdom",2015-01-22,"Cases",1
"United Kingdom",2015-01-22,"Deaths",0
"Sierra Leone",2015-01-23,"Cases",10400
"Sierra Leone",2015-01-23,"Deaths",3159
"Mali",2015-01-23,"Cases",8
"Mali",2015-01-23,"Deaths",6
"Liberia",2015-01-23,"Cases",8524
"Liberia",2015-01-23,"Deaths",3636
"Spain",2015-01-23,"Cases",1
"Spain",2015-01-23,"Deaths",0
"Guinea",2015-01-23,"Cases",2873
"Guinea",2015-01-23,"Deaths",1880
"Senegal",2015-01-23,"Cases",1
"Senegal",2015-01-23,"Deaths",0
"Nigeria",2015-01-23,"Cases",20
"Nigeria",2015-01-23,"Deaths",8
"United States of America",2015-01-23,"Cases",4
"United States of America",2015-01-23,"Deaths",1
"United Kingdom",2015-01-23,"Cases",1
"United Kingdom",2015-01-23,"Deaths",0
"Senegal",2015-01-26,"Cases",1
"Senegal",2015-01-26,"Deaths",0
"Sierra Leone",2015-01-26,"Cases",10491
"Sierra Leone",2015-01-26,"Deaths",3195
"Nigeria",2015-01-26,"Cases",20
"Nigeria",2015-01-26,"Deaths",8
"United States of America",2015-01-26,"Cases",4
"United States of America",2015-01-26,"Deaths",1
"Guinea",2015-01-26,"Cases",2909
"Guinea",2015-01-26,"Deaths",1906
"United Kingdom",2015-01-26,"Cases",1
"United Kingdom",2015-01-26,"Deaths",0
"Mali",2015-01-26,"Cases",8
"Mali",2015-01-26,"Deaths",6
"Liberia",2015-01-26,"Cases",8524
"Liberia",2015-01-26,"Deaths",3636
"Spain",2015-01-26,"Cases",1
"Spain",2015-01-26,"Deaths",0
"Mali",2015-01-27,"Cases",8
"Mali",2015-01-27,"Deaths",6
"Liberia",2015-01-27,"Cases",8622
"Liberia",2015-01-27,"Deaths",3686
"United States of America",2015-01-27,"Cases",4
"United States of America",2015-01-27,"Deaths",1
"Spain",2015-01-27,"Cases",1
"Spain",2015-01-27,"Deaths",0
"Nigeria",2015-01-27,"Cases",20
"Nigeria",2015-01-27,"Deaths",8
"Senegal",2015-01-27,"Cases",1
"Senegal",2015-01-27,"Deaths",0
"Sierra Leone",2015-01-27,"Cases",10518
"Sierra Leone",2015-01-27,"Deaths",3199
"United Kingdom",2015-01-27,"Cases",1
"United Kingdom",2015-01-27,"Deaths",0
"Guinea",2015-01-27,"Cases",2917
"Guinea",2015-01-27,"Deaths",1910
"Senegal",2015-01-28,"Cases",1
"Senegal",2015-01-28,"Deaths",0
"Liberia",2015-01-28,"Cases",8622
"Liberia",2015-01-28,"Deaths",3686
"United States of America",2015-01-28,"Cases",4
"United States of America",2015-01-28,"Deaths",1
"Sierra Leone",2015-01-28,"Cases",10518
"Sierra Leone",2015-01-28,"Deaths",3199
"Spain",2015-01-28,"Cases",1
"Spain",2015-01-28,"Deaths",0
"United Kingdom",2015-01-28,"Cases",1
"United Kingdom",2015-01-28,"Deaths",0
"Mali",2015-01-28,"Cases",8
"Mali",2015-01-28,"Deaths",6
"Nigeria",2015-01-28,"Cases",20
"Nigeria",2015-01-28,"Deaths",8
"Guinea",2015-01-28,"Cases",2917
"Guinea",2015-01-28,"Deaths",1910
"Mali",2015-01-29,"Cases",8
"Mali",2015-01-29,"Deaths",6
"Nigeria",2015-01-29,"Cases",20
"Nigeria",2015-01-29,"Deaths",8
"Spain",2015-01-29,"Cases",1
"Spain",2015-01-29,"Deaths",0
"Liberia",2015-01-29,"Cases",8643
"Liberia",2015-01-29,"Deaths",3700
"United States of America",2015-01-29,"Cases",4
"United States of America",2015-01-29,"Deaths",1
"Senegal",2015-01-29,"Cases",1
"Senegal",2015-01-29,"Deaths",0
"Sierra Leone",2015-01-29,"Cases",10537
"Sierra Leone",2015-01-29,"Deaths",3207
"Guinea",2015-01-29,"Cases",2921
"Guinea",2015-01-29,"Deaths",1911
"United Kingdom",2015-01-29,"Cases",1
"United Kingdom",2015-01-29,"Deaths",0
"Spain",2015-01-30,"Cases",1
"Spain",2015-01-30,"Deaths",0
"Liberia",2015-01-30,"Cases",8643
"Liberia",2015-01-30,"Deaths",3700
"Sierra Leone",2015-01-30,"Cases",10561
"Sierra Leone",2015-01-30,"Deaths",3216
"United Kingdom",2015-01-30,"Cases",1
"United Kingdom",2015-01-30,"Deaths",0
"Senegal",2015-01-30,"Cases",1
"Senegal",2015-01-30,"Deaths",0
"United States of America",2015-01-30,"Cases",4
"United States of America",2015-01-30,"Deaths",1
"Guinea",2015-01-30,"Cases",2920
"Guinea",2015-01-30,"Deaths",1913
"Nigeria",2015-01-30,"Cases",20
"Nigeria",2015-01-30,"Deaths",8
"Mali",2015-01-30,"Cases",8
"Mali",2015-01-30,"Deaths",6
"Liberia",2015-02-02,"Cases",8668
"Liberia",2015-02-02,"Deaths",3710
"Sierra Leone",2015-02-02,"Cases",10707
"Sierra Leone",2015-02-02,"Deaths",3274
"United States of America",2015-02-02,"Cases",4
"United States of America",2015-02-02,"Deaths",1
"Nigeria",2015-02-02,"Cases",20
"Nigeria",2015-02-02,"Deaths",8
"Senegal",2015-02-02,"Cases",1
"Senegal",2015-02-02,"Deaths",0
"Guinea",2015-02-02,"Cases",2959
"Guinea",2015-02-02,"Deaths",1937
"Mali",2015-02-02,"Cases",8
"Mali",2015-02-02,"Deaths",6
"Spain",2015-02-02,"Cases",1
"Spain",2015-02-02,"Deaths",0
"United Kingdom",2015-02-02,"Cases",1
"United Kingdom",2015-02-02,"Deaths",0
"Guinea",2015-02-03,"Cases",2975
"Guinea",2015-02-03,"Deaths",1944
"Mali",2015-02-03,"Cases",8
"Mali",2015-02-03,"Deaths",6
"Senegal",2015-02-03,"Cases",1
"Senegal",2015-02-03,"Deaths",0
"Liberia",2015-02-03,"Cases",8729
"Liberia",2015-02-03,"Deaths",3739
"Nigeria",2015-02-03,"Cases",20
"Nigeria",2015-02-03,"Deaths",8
"United Kingdom",2015-02-03,"Cases",1
"United Kingdom",2015-02-03,"Deaths",0
"Spain",2015-02-03,"Cases",1
"Spain",2015-02-03,"Deaths",0
"Sierra Leone",2015-02-03,"Cases",10740
"Sierra Leone",2015-02-03,"Deaths",3276
"United States of America",2015-02-03,"Cases",4
"United States of America",2015-02-03,"Deaths",1
"Sierra Leone",2015-02-04,"Cases",10740
"Sierra Leone",2015-02-04,"Deaths",3276
"Mali",2015-02-04,"Cases",8
"Mali",2015-02-04,"Deaths",6
"Liberia",2015-02-04,"Cases",8745
"Liberia",2015-02-04,"Deaths",3746
"Guinea",2015-02-04,"Cases",2975
"Guinea",2015-02-04,"Deaths",1944
"Spain",2015-02-04,"Cases",1
"Spain",2015-02-04,"Deaths",0
"United Kingdom",2015-02-04,"Cases",1
"United Kingdom",2015-02-04,"Deaths",0
"Senegal",2015-02-04,"Cases",1
"Senegal",2015-02-04,"Deaths",0
"Nigeria",2015-02-04,"Cases",20
"Nigeria",2015-02-04,"Deaths",8
"United States of America",2015-02-04,"Cases",4
"United States of America",2015-02-04,"Deaths",1
"United Kingdom",2015-02-05,"Cases",1
"United Kingdom",2015-02-05,"Deaths",0
"United States of America",2015-02-05,"Cases",4
"United States of America",2015-02-05,"Deaths",1
"Mali",2015-02-05,"Cases",8
"Mali",2015-02-05,"Deaths",6
"Guinea",2015-02-05,"Cases",2986
"Guinea",2015-02-05,"Deaths",1947
"Sierra Leone",2015-02-05,"Cases",10756
"Sierra Leone",2015-02-05,"Deaths",3286
"Nigeria",2015-02-05,"Cases",20
"Nigeria",2015-02-05,"Deaths",8
"Liberia",2015-02-05,"Cases",8745
"Liberia",2015-02-05,"Deaths",3746
"Senegal",2015-02-05,"Cases",1
"Senegal",2015-02-05,"Deaths",0
"Spain",2015-02-05,"Cases",1
"Spain",2015-02-05,"Deaths",0
"Nigeria",2015-02-06,"Cases",20
"Nigeria",2015-02-06,"Deaths",8
"Mali",2015-02-06,"Cases",8
"Mali",2015-02-06,"Deaths",6
"Spain",2015-02-06,"Cases",1
"Spain",2015-02-06,"Deaths",0
"Senegal",2015-02-06,"Cases",1
"Senegal",2015-02-06,"Deaths",0
"Sierra Leone",2015-02-06,"Cases",10792
"Sierra Leone",2015-02-06,"Deaths",3301
"Liberia",2015-02-06,"Cases",8745
"Liberia",2015-02-06,"Deaths",3746
"United States of America",2015-02-06,"Cases",4
"United States of America",2015-02-06,"Deaths",1
"United Kingdom",2015-02-06,"Cases",1
"United Kingdom",2015-02-06,"Deaths",0
"Guinea",2015-02-06,"Cases",2988
"Guinea",2015-02-06,"Deaths",1957
"Guinea",2015-02-10,"Cases",3044
"Guinea",2015-02-10,"Deaths",1995
"Spain",2015-02-10,"Cases",1
"Spain",2015-02-10,"Deaths",0
"Mali",2015-02-10,"Cases",8
"Mali",2015-02-10,"Deaths",6
"United States of America",2015-02-10,"Cases",4
"United States of America",2015-02-10,"Deaths",1
"Liberia",2015-02-10,"Cases",8881
"Liberia",2015-02-10,"Deaths",3826
"Senegal",2015-02-10,"Cases",1
"Senegal",2015-02-10,"Deaths",0
"Sierra Leone",2015-02-10,"Cases",10934
"Sierra Leone",2015-02-10,"Deaths",3341
"United Kingdom",2015-02-10,"Cases",1
"United Kingdom",2015-02-10,"Deaths",0
"Nigeria",2015-02-10,"Cases",20
"Nigeria",2015-02-10,"Deaths",8
"United States of America",2015-02-11,"Cases",4
"United States of America",2015-02-11,"Deaths",1
"Nigeria",2015-02-11,"Cases",20
"Nigeria",2015-02-11,"Deaths",8
"Sierra Leone",2015-02-11,"Cases",10934
"Sierra Leone",2015-02-11,"Deaths",3341
"Guinea",2015-02-11,"Cases",3044
"Guinea",2015-02-11,"Deaths",1995
"Senegal",2015-02-11,"Cases",1
"Senegal",2015-02-11,"Deaths",0
"Liberia",2015-02-11,"Cases",8881
"Liberia",2015-02-11,"Deaths",3826
"Mali",2015-02-11,"Cases",8
"Mali",2015-02-11,"Deaths",6
"Spain",2015-02-11,"Cases",1
"Spain",2015-02-11,"Deaths",0
"United Kingdom",2015-02-11,"Cases",1
"United Kingdom",2015-02-11,"Deaths",0
"Guinea",2015-02-12,"Cases",3068
"Guinea",2015-02-12,"Deaths",2018
"Sierra Leone",2015-02-12,"Cases",10954
"Sierra Leone",2015-02-12,"Deaths",3350
"Liberia",2015-02-12,"Cases",8881
"Liberia",2015-02-12,"Deaths",3826
"Nigeria",2015-02-12,"Cases",20
"Nigeria",2015-02-12,"Deaths",8
"United Kingdom",2015-02-12,"Cases",1
"United Kingdom",2015-02-12,"Deaths",0
"Mali",2015-02-12,"Cases",8
"Mali",2015-02-12,"Deaths",6
"Senegal",2015-02-12,"Cases",1
"Senegal",2015-02-12,"Deaths",0
"Spain",2015-02-12,"Cases",1
"Spain",2015-02-12,"Deaths",0
"United States of America",2015-02-12,"Cases",4
"United States of America",2015-02-12,"Deaths",1
"Sierra Leone",2015-02-13,"Cases",10987
"Sierra Leone",2015-02-13,"Deaths",3363
"Senegal",2015-02-13,"Cases",1
"Senegal",2015-02-13,"Deaths",0
"Spain",2015-02-13,"Cases",1
"Spain",2015-02-13,"Deaths",0
"Mali",2015-02-13,"Cases",8
"Mali",2015-02-13,"Deaths",6
"Guinea",2015-02-13,"Cases",3081
"Guinea",2015-02-13,"Deaths",2032
"United Kingdom",2015-02-13,"Cases",1
"United Kingdom",2015-02-13,"Deaths",0
"United States of America",2015-02-13,"Cases",4
"United States of America",2015-02-13,"Deaths",1
"Liberia",2015-02-13,"Cases",8931
"Liberia",2015-02-13,"Deaths",3858
"Nigeria",2015-02-13,"Cases",20
"Nigeria",2015-02-13,"Deaths",8
"Liberia",2015-02-16,"Cases",9007
"Liberia",2015-02-16,"Deaths",3900
"United States of America",2015-02-16,"Cases",4
"United States of America",2015-02-16,"Deaths",1
"Mali",2015-02-16,"Cases",8
"Mali",2015-02-16,"Deaths",6
"United Kingdom",2015-02-16,"Cases",1
"United Kingdom",2015-02-16,"Deaths",0
"Guinea",2015-02-16,"Cases",3101
"Guinea",2015-02-16,"Deaths",2052
"Senegal",2015-02-16,"Cases",1
"Senegal",2015-02-16,"Deaths",0
"Spain",2015-02-16,"Cases",1
"Spain",2015-02-16,"Deaths",0
"Sierra Leone",2015-02-16,"Cases",11074
"Sierra Leone",2015-02-16,"Deaths",3401
"Nigeria",2015-02-16,"Cases",20
"Nigeria",2015-02-16,"Deaths",8
"Nigeria",2015-02-17,"Cases",20
"Nigeria",2015-02-17,"Deaths",8
"Liberia",2015-02-17,"Cases",9007
"Liberia",2015-02-17,"Deaths",3900
"United States of America",2015-02-17,"Cases",4
"United States of America",2015-02-17,"Deaths",1
"Guinea",2015-02-17,"Cases",3108
"Guinea",2015-02-17,"Deaths",2057
"Sierra Leone",2015-02-17,"Cases",11103
"Sierra Leone",2015-02-17,"Deaths",3408
"Spain",2015-02-17,"Cases",1
"Spain",2015-02-17,"Deaths",0
"Mali",2015-02-17,"Cases",8
"Mali",2015-02-17,"Deaths",6
"United Kingdom",2015-02-17,"Cases",1
"United Kingdom",2015-02-17,"Deaths",0
"Senegal",2015-02-17,"Cases",1
"Senegal",2015-02-17,"Deaths",0
"Sierra Leone",2015-02-18,"Cases",11103
"Sierra Leone",2015-02-18,"Deaths",3408
"United Kingdom",2015-02-18,"Cases",1
"United Kingdom",2015-02-18,"Deaths",0
"Nigeria",2015-02-18,"Cases",20
"Nigeria",2015-02-18,"Deaths",8
"Spain",2015-02-18,"Cases",1
"Spain",2015-02-18,"Deaths",0
"Mali",2015-02-18,"Cases",8
"Mali",2015-02-18,"Deaths",6
"Liberia",2015-02-18,"Cases",9007
"Liberia",2015-02-18,"Deaths",3900
"Senegal",2015-02-18,"Cases",1
"Senegal",2015-02-18,"Deaths",0
"Guinea",2015-02-18,"Cases",3108
"Guinea",2015-02-18,"Deaths",2057
"United States of America",2015-02-18,"Cases",4
"United States of America",2015-02-18,"Deaths",1
"Nigeria",2015-02-19,"Cases",20
"Nigeria",2015-02-19,"Deaths",8
"United States of America",2015-02-19,"Cases",4
"United States of America",2015-02-19,"Deaths",1
"Liberia",2015-02-19,"Cases",9096
"Liberia",2015-02-19,"Deaths",3947
"Senegal",2015-02-19,"Cases",1
"Senegal",2015-02-19,"Deaths",0
"Sierra Leone",2015-02-19,"Cases",11155
"Sierra Leone",2015-02-19,"Deaths",3423
"Spain",2015-02-19,"Cases",1
"Spain",2015-02-19,"Deaths",0
"Mali",2015-02-19,"Cases",8
"Mali",2015-02-19,"Deaths",6
"Guinea",2015-02-19,"Cases",3115
"Guinea",2015-02-19,"Deaths",2067
"United Kingdom",2015-02-19,"Cases",1
"United Kingdom",2015-02-19,"Deaths",0
"United Kingdom",2015-02-20,"Cases",1
"United Kingdom",2015-02-20,"Deaths",0
"Liberia",2015-02-20,"Cases",9096
"Liberia",2015-02-20,"Deaths",3947
"Guinea",2015-02-20,"Cases",3120
"Guinea",2015-02-20,"Deaths",2072
"United States of America",2015-02-20,"Cases",4
"United States of America",2015-02-20,"Deaths",1
"Nigeria",2015-02-20,"Cases",20
"Nigeria",2015-02-20,"Deaths",8
"Sierra Leone",2015-02-20,"Cases",11155
"Sierra Leone",2015-02-20,"Deaths",3423
"Mali",2015-02-20,"Cases",8
"Mali",2015-02-20,"Deaths",6
"Spain",2015-02-20,"Cases",1
"Spain",2015-02-20,"Deaths",0
"Senegal",2015-02-20,"Cases",1
"Senegal",2015-02-20,"Deaths",0
"Liberia",2015-02-23,"Cases",9229
"Liberia",2015-02-23,"Deaths",4032
"Senegal",2015-02-23,"Cases",1
"Senegal",2015-02-23,"Deaths",0
"Spain",2015-02-23,"Cases",1
"Spain",2015-02-23,"Deaths",0
"United Kingdom",2015-02-23,"Cases",1
"United Kingdom",2015-02-23,"Deaths",0
"Mali",2015-02-23,"Cases",8
"Mali",2015-02-23,"Deaths",6
"Sierra Leone",2015-02-23,"Cases",11155
"Sierra Leone",2015-02-23,"Deaths",3423
"Nigeria",2015-02-23,"Cases",20
"Nigeria",2015-02-23,"Deaths",8
"Guinea",2015-02-23,"Cases",3155
"Guinea",2015-02-23,"Deaths",2086
"United States of America",2015-02-23,"Cases",4
"United States of America",2015-02-23,"Deaths",1
"United Kingdom",2015-02-25,"Cases",1
"United Kingdom",2015-02-25,"Deaths",0
"Sierra Leone",2015-02-25,"Cases",11301
"Sierra Leone",2015-02-25,"Deaths",3461
"Liberia",2015-02-25,"Cases",9238
"Liberia",2015-02-25,"Deaths",4037
"Nigeria",2015-02-25,"Cases",20
"Nigeria",2015-02-25,"Deaths",8
"Mali",2015-02-25,"Cases",8
"Mali",2015-02-25,"Deaths",6
"United States of America",2015-02-25,"Cases",4
"United States of America",2015-02-25,"Deaths",1
"Guinea",2015-02-25,"Cases",3155
"Guinea",2015-02-25,"Deaths",2091
"Senegal",2015-02-25,"Cases",1
"Senegal",2015-02-25,"Deaths",0
"Spain",2015-02-25,"Cases",1
"Spain",2015-02-25,"Deaths",0
"Mali",2015-02-26,"Cases",8
"Mali",2015-02-26,"Deaths",6
"Senegal",2015-02-26,"Cases",1
"Senegal",2015-02-26,"Deaths",0
"Guinea",2015-02-26,"Cases",3175
"Guinea",2015-02-26,"Deaths",2101
"Sierra Leone",2015-02-26,"Cases",11341
"Sierra Leone",2015-02-26,"Deaths",3479
"United Kingdom",2015-02-26,"Cases",1
"United Kingdom",2015-02-26,"Deaths",0
"United States of America",2015-02-26,"Cases",4
"United States of America",2015-02-26,"Deaths",1
"Liberia",2015-02-26,"Cases",9265
"Liberia",2015-02-26,"Deaths",4057
"Nigeria",2015-02-26,"Cases",20
"Nigeria",2015-02-26,"Deaths",8
"Spain",2015-02-26,"Cases",1
"Spain",2015-02-26,"Deaths",0
"Sierra Leone",2015-02-27,"Cases",11370
"Sierra Leone",2015-02-27,"Deaths",3490
"Mali",2015-02-27,"Cases",8
"Mali",2015-02-27,"Deaths",6
"Nigeria",2015-02-27,"Cases",20
"Nigeria",2015-02-27,"Deaths",8
"United States of America",2015-02-27,"Cases",4
"United States of America",2015-02-27,"Deaths",1
"Guinea",2015-02-27,"Cases",3190
"Guinea",2015-02-27,"Deaths",2113
"United Kingdom",2015-02-27,"Cases",1
"United Kingdom",2015-02-27,"Deaths",0
"Senegal",2015-02-27,"Cases",1
"Senegal",2015-02-27,"Deaths",0
"Spain",2015-02-27,"Cases",1
"Spain",2015-02-27,"Deaths",0
"Liberia",2015-02-27,"Cases",9265
"Liberia",2015-02-27,"Deaths",4057
"Guinea",2015-03-02,"Cases",3205
"Guinea",2015-03-02,"Deaths",2127
"United Kingdom",2015-03-02,"Cases",1
"United Kingdom",2015-03-02,"Deaths",0
"Sierra Leone",2015-03-02,"Cases",11443
"Sierra Leone",2015-03-02,"Deaths",3530
"Spain",2015-03-02,"Cases",1
"Spain",2015-03-02,"Deaths",0
"Nigeria",2015-03-02,"Cases",20
"Nigeria",2015-03-02,"Deaths",8
"Mali",2015-03-02,"Cases",8
"Mali",2015-03-02,"Deaths",6
"Liberia",2015-03-02,"Cases",9265
"Liberia",2015-03-02,"Deaths",4057
"United States of America",2015-03-02,"Cases",4
"United States of America",2015-03-02,"Deaths",1
"Senegal",2015-03-02,"Cases",1
"Senegal",2015-03-02,"Deaths",0
"Liberia",2015-03-04,"Cases",9265
"Liberia",2015-03-04,"Deaths",4057
"Nigeria",2015-03-04,"Cases",20
"Nigeria",2015-03-04,"Deaths",8
"Senegal",2015-03-04,"Cases",1
"Senegal",2015-03-04,"Deaths",0
"United States of America",2015-03-04,"Cases",4
"United States of America",2015-03-04,"Deaths",1
"Mali",2015-03-04,"Cases",8
"Mali",2015-03-04,"Deaths",6
"Spain",2015-03-04,"Cases",1
"Spain",2015-03-04,"Deaths",0
"Sierra Leone",2015-03-04,"Cases",11443
"Sierra Leone",2015-03-04,"Deaths",3530
"Guinea",2015-03-04,"Cases",3205
"Guinea",2015-03-04,"Deaths",2127
"United Kingdom",2015-03-04,"Cases",1
"United Kingdom",2015-03-04,"Deaths",0
"Nigeria",2015-03-05,"Cases",20
"Nigeria",2015-03-05,"Deaths",8
"United Kingdom",2015-03-05,"Cases",1
"United Kingdom",2015-03-05,"Deaths",0
"Guinea",2015-03-05,"Cases",3237
"Guinea",2015-03-05,"Deaths",2141
"Spain",2015-03-05,"Cases",1
"Spain",2015-03-05,"Deaths",0
"Liberia",2015-03-05,"Cases",9249
"Liberia",2015-03-05,"Deaths",4117
"Senegal",2015-03-05,"Cases",1
"Senegal",2015-03-05,"Deaths",0
"Mali",2015-03-05,"Cases",8
"Mali",2015-03-05,"Deaths",6
"Sierra Leone",2015-03-05,"Cases",11497
"Sierra Leone",2015-03-05,"Deaths",3565
"United States of America",2015-03-05,"Cases",4
"United States of America",2015-03-05,"Deaths",1
"United States of America",2015-03-06,"Cases",4
"United States of America",2015-03-06,"Deaths",1
"Mali",2015-03-06,"Cases",8
"Mali",2015-03-06,"Deaths",6
"Nigeria",2015-03-06,"Cases",20
"Nigeria",2015-03-06,"Deaths",8
"Liberia",2015-03-06,"Cases",9249
"Liberia",2015-03-06,"Deaths",4117
"Sierra Leone",2015-03-06,"Cases",11517
"Sierra Leone",2015-03-06,"Deaths",3576
"Guinea",2015-03-06,"Cases",3248
"Guinea",2015-03-06,"Deaths",2147
"Spain",2015-03-06,"Cases",1
"Spain",2015-03-06,"Deaths",0
"Senegal",2015-03-06,"Cases",1
"Senegal",2015-03-06,"Deaths",0
"United Kingdom",2015-03-06,"Cases",1
"United Kingdom",2015-03-06,"Deaths",0
"Guinea",2015-03-10,"Cases",3285
"Guinea",2015-03-10,"Deaths",2170
"Mali",2015-03-10,"Cases",8
"Mali",2015-03-10,"Deaths",6
"Sierra Leone",2015-03-10,"Cases",11619
"Sierra Leone",2015-03-10,"Deaths",3629
"Spain",2015-03-10,"Cases",1
"Spain",2015-03-10,"Deaths",0
"United States of America",2015-03-10,"Cases",4
"United States of America",2015-03-10,"Deaths",1
"United Kingdom",2015-03-10,"Cases",1
"United Kingdom",2015-03-10,"Deaths",0
"Liberia",2015-03-10,"Cases",9343
"Liberia",2015-03-10,"Deaths",4162
"Senegal",2015-03-10,"Cases",1
"Senegal",2015-03-10,"Deaths",0
"Nigeria",2015-03-10,"Cases",20
"Nigeria",2015-03-10,"Deaths",8
"Guinea",2015-03-11,"Cases",3285
"Guinea",2015-03-11,"Deaths",2170
"United States of America",2015-03-11,"Cases",4
"United States of America",2015-03-11,"Deaths",1
"United Kingdom",2015-03-11,"Cases",1
"United Kingdom",2015-03-11,"Deaths",0
"Mali",2015-03-11,"Cases",8
"Mali",2015-03-11,"Deaths",6
"Senegal",2015-03-11,"Cases",1
"Senegal",2015-03-11,"Deaths",0
"Nigeria",2015-03-11,"Cases",20
"Nigeria",2015-03-11,"Deaths",8
"Liberia",2015-03-11,"Cases",9343
"Liberia",2015-03-11,"Deaths",4162
"Spain",2015-03-11,"Cases",1
"Spain",2015-03-11,"Deaths",0
"Sierra Leone",2015-03-11,"Cases",11619
"Sierra Leone",2015-03-11,"Deaths",3629
"Nigeria",2015-03-12,"Cases",20
