"Country","Date","Cases","Deaths"
"Guinea",2015-04-09,3515,2335
"Sierra Leone",2015-04-09,12155,3841
"Sierra Leone",2015-04-13,12188,3854
"Senegal",2015-04-13,1,0
"Liberia",2015-04-13,9862,4408
"Mali",2015-04-13,8,6
"United States of America",2015-04-13,4,1
"Nigeria",2015-04-13,20,8
"Spain",2015-04-13,1,0
"United Kingdom",2015-04-13,1,0
"Guinea",2015-04-13,3541,2342
"Sierra Leone",2015-04-14,12201,3857
"United Kingdom",2015-04-14,1,0
"United States of America",2015-04-14,4,1
"Nigeria",2015-04-14,20,8
"Mali",2015-04-14,8,6
"Guinea",2015-04-14,3548,2346
"Liberia",2015-04-14,9862,4408
"Senegal",2015-04-14,1,0
"Spain",2015-04-14,1,0
"Mali",2015-04-15,8,6
"Sierra Leone",2015-04-15,12201,3857
"Liberia",2015-04-15,10042,4486
"Senegal",2015-04-15,1,0
"Guinea",2015-04-15,3548,2346
"United States of America",2015-04-15,4,1
"Spain",2015-04-15,1,0
"Nigeria",2015-04-15,20,8
"United Kingdom",2015-04-15,1,0
"Spain",2015-04-16,1,0
"United States of America",2015-04-16,4,1
"Mali",2015-04-16,8,6
"Sierra Leone",2015-04-16,12223,3865
"Nigeria",2015-04-16,20,8
"United Kingdom",2015-04-16,1,0
"Senegal",2015-04-16,1,0
"Liberia",2015-04-16,10042,4486
"Guinea",2015-04-16,3566,2348
"Guinea",2015-04-17,3569,2351
"Nigeria",2015-04-17,20,8
"United States of America",2015-04-17,4,1
"United Kingdom",2015-04-17,1,0
"Senegal",2015-04-17,1,0
"Liberia",2015-04-17,10042,4486
"Spain",2015-04-17,1,0
"Mali",2015-04-17,8,6
"Sierra Leone",2015-04-17,12244,3865
"United Kingdom",2015-04-20,1,0
"Mali",2015-04-20,8,6
"Sierra Leone",2015-04-20,12256,3872
"Senegal",2015-04-20,1,0
"Guinea",2015-04-20,3565,2357
"Liberia",2015-04-20,10042,4486
"Nigeria",2015-04-20,20,8
"Spain",2015-04-20,1,0
"United States of America",2015-04-20,4,1
"Spain",2015-04-21,1,0
"Liberia",2015-04-21,10042,4486
"Nigeria",2015-04-21,20,8
"Mali",2015-04-21,8,6
"Senegal",2015-04-21,1,0
"United States of America",2015-04-21,4,1
"Guinea",2015-04-21,3565,2358
"United Kingdom",2015-04-21,1,0
"Sierra Leone",2015-04-21,12265,3877
"United Kingdom",2015-04-22,1,0
"Spain",2015-04-22,1,0
"Sierra Leone",2015-04-22,12267,3877
"Mali",2015-04-22,8,6
"United States of America",2015-04-22,4,1
"Guinea",2015-04-22,3565,2358
"Senegal",2015-04-22,1,0
"Liberia",2015-04-22,10212,4573
"Nigeria",2015-04-22,20,8
"Mali",2015-04-23,8,6
"United Kingdom",2015-04-23,1,0
"Liberia",2015-04-23,10212,4573
"Guinea",2015-04-23,3568,2362
"Nigeria",2015-04-23,20,8
"Spain",2015-04-23,1,0
"Sierra Leone",2015-04-23,12294,3885
"United States of America",2015-04-23,4,1
"Senegal",2015-04-23,1,0
"Spain",2015-04-24,1,0
"United Kingdom",2015-04-24,1,0
"Mali",2015-04-24,8,6
"Nigeria",2015-04-24,20,8
"United States of America",2015-04-24,4,1
"Liberia",2015-04-24,10212,4573
"Guinea",2015-04-24,3576,2365
"Sierra Leone",2015-04-24,12313,3886
"Senegal",2015-04-24,1,0
"United Kingdom",2015-04-27,1,0
"Spain",2015-04-27,1,0
"Mali",2015-04-27,8,6
"Liberia",2015-04-27,10212,4573
"Nigeria",2015-04-27,20,8
"United States of America",2015-04-27,4,1
"Sierra Leone",2015-04-27,12362,3895
"Guinea",2015-04-27,3585,2374
"Senegal",2015-04-27,1,0
"Sierra Leone",2015-04-28,12371,3899
"Nigeria",2015-04-28,20,8
"Guinea",2015-04-28,3584,2377
"Senegal",2015-04-28,1,0
"United Kingdom",2015-04-28,1,0
"Spain",2015-04-28,1,0
"United States of America",2015-04-28,4,1
"Liberia",2015-04-28,10322,4608
"Mali",2015-04-28,8,6
"Senegal",2015-04-30,1,0
"Guinea",2015-04-30,3581,2381
"United States of America",2015-04-30,4,1
"Spain",2015-04-30,1,0
"United Kingdom",2015-04-30,1,0
"Nigeria",2015-04-30,20,8
"Mali",2015-04-30,8,6
"Sierra Leone",2015-04-30,12387,3901
"Liberia",2015-04-30,10322,4608
"Sierra Leone",2015-05-01,12398,3901
"Mali",2015-05-01,8,6
"Nigeria",2015-05-01,20,8
"United States of America",2015-05-01,4,1
"Guinea",2015-05-01,3578,2383
"Senegal",2015-05-01,1,0
"Liberia",2015-05-01,10322,4608
"United Kingdom",2015-05-01,1,0
"Spain",2015-05-01,1,0
"United Kingdom",2015-05-04,1,0
"Sierra Leone",2015-05-04,12426,3902
"Liberia",2015-05-04,10322,4608
"Mali",2015-05-04,8,6
"Nigeria",2015-05-04,20,8
"United States of America",2015-05-04,4,1
"Spain",2015-05-04,1,0
"Senegal",2015-05-04,1,0
"Guinea",2015-05-04,3591,2385
"Mali",2015-05-05,8,6
"Spain",2015-05-05,1,0
"Liberia",2015-05-05,10507,4691
"United States of America",2015-05-05,4,1
"Nigeria",2015-05-05,20,8
"Sierra Leone",2015-05-05,12440,3903
"United Kingdom",2015-05-05,1,0
"Senegal",2015-05-05,1,0
"Guinea",2015-05-05,3589,2386
"Guinea",2015-05-06,3589,2386
"Liberia",2015-05-06,10564,4716
"United Kingdom",2015-05-06,1,0
"Nigeria",2015-05-06,20,8
"Mali",2015-05-06,8,6
"United States of America",2015-05-06,4,1
"Sierra Leone",2015-05-06,12440,3903
"Senegal",2015-05-06,1,0
"Spain",2015-05-06,1,0
"Liberia",2015-05-07,10564,4716
"Spain",2015-05-07,1,0
"Mali",2015-05-07,8,6
"Sierra Leone",2015-05-07,12470,3904
"United States of America",2015-05-07,4,1
"United Kingdom",2015-05-07,1,0
"Senegal",2015-05-07,1,0
"Guinea",2015-05-07,3592,2387
"Nigeria",2015-05-07,20,8
"Senegal",2015-05-08,1,0
"Spain",2015-05-08,1,0
"Sierra Leone",2015-05-08,12492,3904
"United States of America",2015-05-08,4,1
"Nigeria",2015-05-08,20,8
"Liberia",2015-05-08,10564,4716
"United Kingdom",2015-05-08,1,0
"Mali",2015-05-08,8,6
"Guinea",2015-05-08,3592,2387
"United Kingdom",2015-05-11,1,0
"Guinea",2015-05-11,3599,2391
"Senegal",2015-05-11,1,0
"United States of America",2015-05-11,4,1
"Spain",2015-05-11,1,0
"Mali",2015-05-11,8,6
"Liberia",2015-05-11,10604,4769
"Nigeria",2015-05-11,20,8
"Sierra Leone",2015-05-11,12519,3904
"Senegal",2015-05-12,1,0
"Mali",2015-05-12,8,6
"Liberia",2015-05-12,10604,4769
"United States of America",2015-05-12,4,1
"United Kingdom",2015-05-12,1,0
"Sierra Leone",2015-05-12,12523,3904
"Nigeria",2015-05-12,20,8
"Guinea",2015-05-12,3597,2392
"Spain",2015-05-12,1,0
"Sierra Leone",2015-05-13,12519,3904
"United Kingdom",2015-05-13,1,0
"Senegal",2015-05-13,1,0
"Nigeria",2015-05-13,20,8
"Spain",2015-05-13,1,0
"Liberia",2015-05-13,10604,4769
"Mali",2015-05-13,8,6
"Guinea",2015-05-13,3599,2391
"United States of America",2015-05-13,4,1
"Nigeria",2015-05-14,20,8
"Spain",2015-05-14,1,0
"Liberia",2015-05-14,10604,4769
"United States of America",2015-05-14,4,1
"Mali",2015-05-14,8,6
"Guinea",2015-05-14,3615,2399
"Senegal",2015-05-14,1,0
"United Kingdom",2015-05-14,1,0
"Sierra Leone",2015-05-14,12536,3904
"Italy",2015-05-14,1,0
"Mali",2015-05-15,8,6
"Guinea",2015-05-15,3619,2401
"Sierra Leone",2015-05-15,12540,3904
"Nigeria",2015-05-15,20,8
"United Kingdom",2015-05-15,1,0
"Italy",2015-05-15,1,0
"Spain",2015-05-15,1,0
"United States of America",2015-05-15,4,1
"Senegal",2015-05-15,1,0
"Liberia",2015-05-15,10604,4769
"Nigeria",2015-05-18,20,8
"Spain",2015-05-18,1,0
"Sierra Leone",2015-05-18,12593,3906
"United Kingdom",2015-05-18,1,0
"Liberia",2015-05-18,10666,4806
"Senegal",2015-05-18,1,0
"Italy",2015-05-18,1,0
"Mali",2015-05-18,8,6
"United States of America",2015-05-18,4,1
"Guinea",2015-05-18,3626,2405
"Mali",2015-05-19,8,6
"Italy",2015-05-19,1,0
"Guinea",2015-05-19,3635,2407
"Sierra Leone",2015-05-19,12632,3907
"Spain",2015-05-19,1,0
"Nigeria",2015-05-19,20,8
"United Kingdom",2015-05-19,1,0
"United States of America",2015-05-19,4,1
"Liberia",2015-05-19,10666,4806
"Senegal",2015-05-19,1,0
"Spain",2015-05-20,1,0
"United Kingdom",2015-05-20,1,0
"Sierra Leone",2015-05-20,12632,3907
"Senegal",2015-05-20,1,0
"Nigeria",2015-05-20,20,8
"Italy",2015-05-20,1,0
"Guinea",2015-05-20,3635,2407
"Mali",2015-05-20,8,6
"Liberia",2015-05-20,10666,4806
"United States of America",2015-05-20,4,1
"Liberia",2015-05-21,10666,4806
"Italy",2015-05-21,1,0
"Spain",2015-05-21,1,0
"Sierra Leone",2015-05-21,12656,3907
"Nigeria",2015-05-21,20,8
"Senegal",2015-05-21,1,0
"Mali",2015-05-21,8,6
"United Kingdom",2015-05-21,1,0
"Guinea",2015-05-21,3649,2409
"United States of America",2015-05-21,4,1
"Spain",2015-05-22,1,0
"Mali",2015-05-22,8,6
"Liberia",2015-05-22,10666,4806
"Italy",2015-05-22,1,0
"United States of America",2015-05-22,4,1
"Sierra Leone",2015-05-22,12666,3907
"Guinea",2015-05-22,3647,2412
"Nigeria",2015-05-22,20,8
"United Kingdom",2015-05-22,1,0
"Senegal",2015-05-22,1,0
"Nigeria",2015-05-25,20,8
"Italy",2015-05-25,1,0
"United Kingdom",2015-05-25,1,0
"United States of America",2015-05-25,4,1
"Mali",2015-05-25,8,6
"Spain",2015-05-25,1,0
"Senegal",2015-05-25,1,0
"Liberia",2015-05-25,10666,4806
"Guinea",2015-05-25,3640,2418
"Sierra Leone",2015-05-25,12696,3908
"Nigeria",2015-05-26,20,8
"Senegal",2015-05-26,1,0
"Guinea",2015-05-26,3641,2420
"Mali",2015-05-26,8,6
"Italy",2015-05-26,1,0
"Spain",2015-05-26,1,0
"Sierra Leone",2015-05-26,12706,3908
"United Kingdom",2015-05-26,1,0
"Liberia",2015-05-26,10666,4806
"United States of America",2015-05-26,4,1
"Mali",2015-05-27,8,6
"Italy",2015-05-27,1,0
"Guinea",2015-05-27,3641,2420
"Nigeria",2015-05-27,20,8
"Sierra Leone",2015-05-27,12706,3908
"United States of America",2015-05-27,4,1
"Liberia",2015-05-27,10666,4806
"Spain",2015-05-27,1,0
"United Kingdom",2015-05-27,1,0
"Senegal",2015-05-27,1,0
"Italy",2015-05-28,1,0
"Mali",2015-05-28,8,6
"United States of America",2015-05-28,4,1
"Liberia",2015-05-28,10666,4806
"Spain",2015-05-28,1,0
"Senegal",2015-05-28,1,0
"Nigeria",2015-05-28,20,8
"Guinea",2015-05-28,3639,2423
"United Kingdom",2015-05-28,1,0
"Sierra Leone",2015-05-28,12735,3911
"Guinea",2015-05-29,3644,2425
"United Kingdom",2015-05-29,1,0
"Liberia",2015-05-29,10666,4806
"United States of America",2015-05-29,4,1
"Italy",2015-05-29,1,0
"Sierra Leone",2015-05-29,12745,3911
"Nigeria",2015-05-29,20,8
"Spain",2015-05-29,1,0
"Senegal",2015-05-29,1,0
"Mali",2015-05-29,8,6
"United Kingdom",2015-06-01,1,0
"United States of America",2015-06-01,4,1
"Sierra Leone",2015-06-01,12816,3911
"Nigeria",2015-06-01,20,8
"Spain",2015-06-01,1,0
"Senegal",2015-06-01,1,0
"Italy",2015-06-01,1,0
"Guinea",2015-06-01,3653,2428
"Liberia",2015-06-01,10666,4806
"Mali",2015-06-01,8,6
"Sierra Leone",2015-06-02,12827,3912
"Nigeria",2015-06-02,20,8
"Senegal",2015-06-02,1,0
"Guinea",2015-06-02,3652,2429
"Mali",2015-06-02,8,6
"United States of America",2015-06-02,4,1
"Liberia",2015-06-02,10666,4806
"Spain",2015-06-02,1,0
"Italy",2015-06-02,1,0
"United Kingdom",2015-06-02,1,0
"United States of America",2015-06-03,4,1
"United Kingdom",2015-06-03,1,0
"Senegal",2015-06-03,1,0
"Nigeria",2015-06-03,20,8
"Sierra Leone",2015-06-03,12827,3912
"Italy",2015-06-03,1,0
"Guinea",2015-06-03,3652,2429
"Spain",2015-06-03,1,0
"Mali",2015-06-03,8,6
"Liberia",2015-06-03,10666,4806
"Guinea",2015-06-04,3657,2431
"Sierra Leone",2015-06-04,12850,3912
"United States of America",2015-06-04,4,1
"Spain",2015-06-04,1,0
"Mali",2015-06-04,8,6
"Senegal",2015-06-04,1,0
"Liberia",2015-06-04,10666,4806
"Nigeria",2015-06-04,20,8
"United Kingdom",2015-06-04,1,0
"Italy",2015-06-04,1,0
"United Kingdom",2015-06-05,1,0
"Guinea",2015-06-05,3664,2431
"Italy",2015-06-05,1,0
"United States of America",2015-06-05,4,1
"Spain",2015-06-05,1,0
"Senegal",2015-06-05,1,0
"Liberia",2015-06-05,10666,4806
"Nigeria",2015-06-05,20,8
"Mali",2015-06-05,8,6
"Sierra Leone",2015-06-05,12859,3912
"Senegal",2015-06-08,1,0
"Nigeria",2015-06-08,20,8
"Sierra Leone",2015-06-08,12884,3913
"United States of America",2015-06-08,4,1
"Spain",2015-06-08,1,0
"Guinea",2015-06-08,3669,2435
"Liberia",2015-06-08,10666,4806
"Italy",2015-06-08,1,0
"Mali",2015-06-08,8,6
"United Kingdom",2015-06-08,1,0
"Sierra Leone",2015-06-09,12901,3915
"Spain",2015-06-09,1,0
"Liberia",2015-06-09,10666,4806
"United States of America",2015-06-09,4,1
"United Kingdom",2015-06-09,1,0
"Guinea",2015-06-09,3670,2437
"Mali",2015-06-09,8,6
"Nigeria",2015-06-09,20,8
"Senegal",2015-06-09,1,0
"Italy",2015-06-09,1,0
"Mali",2015-06-10,8,6
"United Kingdom",2015-06-10,1,0
"Senegal",2015-06-10,1,0
"Italy",2015-06-10,1,0
"Spain",2015-06-10,1,0
"United States of America",2015-06-10,4,1
"Liberia",2015-06-10,10666,4806
"Guinea",2015-06-10,3670,2437
"Nigeria",2015-06-10,20,8
"Sierra Leone",2015-06-10,12901,3915
"Italy",2015-06-11,1,0
"United States of America",2015-06-11,4,1
"Guinea",2015-06-11,3674,2440
"Spain",2015-06-11,1,0
"Mali",2015-06-11,8,6
"Nigeria",2015-06-11,20,8
"Senegal",2015-06-11,1,0
"Liberia",2015-06-11,10666,4806
"United Kingdom",2015-06-11,1,0
"Sierra Leone",2015-06-11,12911,3917
"Liberia",2015-06-12,10666,4806
"Guinea",2015-06-12,3677,2440
"Nigeria",2015-06-12,20,8
"Mali",2015-06-12,8,6
"Spain",2015-06-12,1,0
"United States of America",2015-06-12,4,1
"Sierra Leone",2015-06-12,12932,3917
"United Kingdom",2015-06-12,1,0
"Italy",2015-06-12,1,0
"Senegal",2015-06-12,1,0
"Spain",2015-06-15,1,0
"United States of America",2015-06-15,4,1
"Mali",2015-06-15,8,6
"Guinea",2015-06-15,3677,2443
"Liberia",2015-06-15,10666,4806
"Italy",2015-06-15,1,0
"Sierra Leone",2015-06-15,12962,3919
"Nigeria",2015-06-15,20,8
"United Kingdom",2015-06-15,1,0
"Senegal",2015-06-15,1,0
"Guinea",2015-06-16,3678,2444
"Liberia",2015-06-16,10666,4806
"Mali",2015-06-16,8,6
"United Kingdom",2015-06-16,1,0
"Sierra Leone",2015-06-16,12965,3919
"United States of America",2015-06-16,4,1
"Senegal",2015-06-16,1,0
"Italy",2015-06-16,1,0
"Nigeria",2015-06-16,20,8
"Spain",2015-06-16,1,0
"United States of America",2015-06-17,4,1
"Sierra Leone",2015-06-17,12965,3919
"Nigeria",2015-06-17,20,8
"United Kingdom",2015-06-17,1,0
"Italy",2015-06-17,1,0
"Senegal",2015-06-17,1,0
"Spain",2015-06-17,1,0
"Mali",2015-06-17,8,6
"Guinea",2015-06-17,3674,2444
"Liberia",2015-06-17,10666,4806
"Sierra Leone",2015-06-18,12990,3922
"Liberia",2015-06-18,10666,4806
"United States of America",2015-06-18,4,1
"Italy",2015-06-18,1,0
"Senegal",2015-06-18,1,0
"United Kingdom",2015-06-18,1,0
"Spain",2015-06-18,1,0
"Nigeria",2015-06-18,20,8
"Guinea",2015-06-18,3675,2445
"Mali",2015-06-18,8,6
"Mali",2015-06-19,8,6
"Sierra Leone",2015-06-19,13012,3926
"Nigeria",2015-06-19,20,8
"Spain",2015-06-19,1,0
"United States of America",2015-06-19,4,1
"Senegal",2015-06-19,1,0
"United Kingdom",2015-06-19,1,0
"Italy",2015-06-19,1,0
"Liberia",2015-06-19,10666,4806
"Guinea",2015-06-19,3674,2446
"Liberia",2015-06-22,10666,4806
"Spain",2015-06-22,1,0
"United Kingdom",2015-06-22,1,0
"Italy",2015-06-22,1,0
"Guinea",2015-06-22,3698,2456
"Sierra Leone",2015-06-22,13051,3928
"Mali",2015-06-22,8,6
"United States of America",2015-06-22,4,1
"Nigeria",2015-06-22,20,8
"Senegal",2015-06-22,1,0
"Italy",2015-06-23,1,0
"Sierra Leone",2015-06-23,13059,3928
"Liberia",2015-06-23,10666,4806
"United Kingdom",2015-06-23,1,0
"Nigeria",2015-06-23,20,8
"Senegal",2015-06-23,1,0
"United States of America",2015-06-23,4,1
"Spain",2015-06-23,1,0
"Mali",2015-06-23,8,6
"Guinea",2015-06-23,3718,2473
"United States of America",2015-06-24,4,1
"Sierra Leone",2015-06-24,13059,3928
"Senegal",2015-06-24,1,0
"United Kingdom",2015-06-24,1,0
"Guinea",2015-06-24,3718,2473
"Liberia",2015-06-24,10666,4806
"Mali",2015-06-24,8,6
"Italy",2015-06-24,1,0
"Nigeria",2015-06-24,20,8
"Spain",2015-06-24,1,0
"Nigeria",2015-06-25,20,8
"Sierra Leone",2015-06-25,13083,3931
"Senegal",2015-06-25,1,0
"Mali",2015-06-25,8,6
"Spain",2015-06-25,1,0
"United Kingdom",2015-06-25,1,0
"Liberia",2015-06-25,10666,4806
"United States of America",2015-06-25,4,1
"Guinea",2015-06-25,3718,2480
"Italy",2015-06-25,1,0
"Guinea",2015-06-26,3720,2480
"Spain",2015-06-26,1,0
"Senegal",2015-06-26,1,0
"Italy",2015-06-26,1,0
"Sierra Leone",2015-06-26,13093,3931
"Liberia",2015-06-26,10666,4806
"United Kingdom",2015-06-26,1,0
"Mali",2015-06-26,8,6
"Nigeria",2015-06-26,20,8
"United States of America",2015-06-26,4,1
"Senegal",2015-06-29,1,0
"United Kingdom",2015-06-29,1,0
"Nigeria",2015-06-29,20,8
"Guinea",2015-06-29,3724,2482
"Sierra Leone",2015-06-29,13115,3932
"Mali",2015-06-29,8,6
"Spain",2015-06-29,1,0
"Liberia",2015-06-29,10666,4806
"United States of America",2015-06-29,4,1
"Italy",2015-06-29,1,0
"United Kingdom",2015-06-30,1,0
"Mali",2015-06-30,8,6
"Liberia",2015-06-30,10666,4806
"Sierra Leone",2015-06-30,13119,3932
"Italy",2015-06-30,1,0
"Senegal",2015-06-30,1,0
"Guinea",2015-06-30,3729,2482
"Spain",2015-06-30,1,0
"Nigeria",2015-06-30,20,8
"United States of America",2015-06-30,4,1
"Sierra Leone",2015-07-01,13119,3932
"Senegal",2015-07-01,1,0
"Spain",2015-07-01,1,0
"United Kingdom",2015-07-01,1,0
"Guinea",2015-07-01,3729,2482
"Italy",2015-07-01,1,0
"Liberia",2015-07-01,10666,4806
"United States of America",2015-07-01,4,1
"Nigeria",2015-07-01,20,8
"Mali",2015-07-01,8,6
"Senegal",2015-07-02,1,0
"Italy",2015-07-02,1,0
"Liberia",2015-07-02,10666,4806
"Guinea",2015-07-02,3745,2490
"United States of America",2015-07-02,4,1
"Spain",2015-07-02,1,0
"Nigeria",2015-07-02,20,8
"Mali",2015-07-02,8,6
"Sierra Leone",2015-07-02,13129,3933
"United Kingdom",2015-07-02,1,0
"Liberia",2015-07-03,10666,4806
"United Kingdom",2015-07-03,1,0
"Nigeria",2015-07-03,20,8
"Senegal",2015-07-03,1,0
"United States of America",2015-07-03,4,1
"Guinea",2015-07-03,3750,2492
"Italy",2015-07-03,1,0
"Liberia",2015-07-03,10666,4806
"Spain",2015-07-03,1,0
"Mali",2015-07-03,8,6
"Sierra Leone",2015-07-03,13135,3935
"United Kingdom",2015-07-06,1,0
"Spain",2015-07-06,1,0
"Guinea",2015-07-06,3744,2498
"United States of America",2015-07-06,4,1
"Liberia",2015-07-06,10666,4806
"Nigeria",2015-07-06,20,8
"Mali",2015-07-06,8,6
"Sierra Leone",2015-07-06,13150,3940
"Senegal",2015-07-06,1,0
"Liberia",2015-07-06,10666,4806
"Italy",2015-07-06,1,0
"Italy",2015-07-07,1,0
"Spain",2015-07-07,1,0
"Liberia",2015-07-07,10666,4806
"Nigeria",2015-07-07,20,8
"United States of America",2015-07-07,4,1
"Sierra Leone",2015-07-07,13155,3940
"Senegal",2015-07-07,1,0
"Liberia",2015-07-07,10666,4806
"Guinea",2015-07-07,3748,2499
"Mali",2015-07-07,8,6
"United Kingdom",2015-07-07,1,0
"Nigeria",2015-07-08,20,8
"Liberia",2015-07-08,10666,4806
"United States of America",2015-07-08,4,1
"Spain",2015-07-08,1,0
"Sierra Leone",2015-07-08,13155,3940
"Mali",2015-07-08,8,6
"United Kingdom",2015-07-08,1,0
"Guinea",2015-07-08,3748,2499
"Italy",2015-07-08,1,0
"Senegal",2015-07-08,1,0
"Liberia",2015-07-08,10666,4806
"Liberia",2015-07-09,10666,4806
"Senegal",2015-07-09,1,0
"Nigeria",2015-07-09,20,8
"Liberia",2015-07-09,10666,4806
"United Kingdom",2015-07-09,1,0
"United States of America",2015-07-09,4,1
"Italy",2015-07-09,1,0
"Sierra Leone",2015-07-09,13169,3941
"Guinea",2015-07-09,3744,2505
"Mali",2015-07-09,8,6
"Spain",2015-07-09,1,0
"Senegal",2015-07-10,1,0
"Mali",2015-07-10,8,6
"Sierra Leone",2015-07-10,13177,3941
"Nigeria",2015-07-10,20,8
"Italy",2015-07-10,1,0
"Guinea",2015-07-10,3751,2505
"Liberia",2015-07-10,10666,4806
"Spain",2015-07-10,1,0
"United States of America",2015-07-10,4,1
"United Kingdom",2015-07-10,1,0
"Liberia",2015-07-10,10666,4806
"Nigeria",2015-07-13,20,8
"Liberia",2015-07-13,10666,4806
"Spain",2015-07-13,1,0
"Liberia",2015-07-13,10666,4806
"Senegal",2015-07-13,1,0
"Mali",2015-07-13,8,6
"United Kingdom",2015-07-13,1,0
"United States of America",2015-07-13,4,1
"Guinea",2015-07-13,3754,2506
"Italy",2015-07-13,1,0
"Sierra Leone",2015-07-13,13201,3946
"Senegal",2015-07-14,1,0
"United Kingdom",2015-07-14,1,0
"Liberia",2015-07-14,10666,4806
"Guinea",2015-07-14,3760,2506
"Spain",2015-07-14,1,0
"Liberia",2015-07-14,10666,4806
"Mali",2015-07-14,8,6
"Italy",2015-07-14,1,0
"United States of America",2015-07-14,4,1
"Sierra Leone",2015-07-14,13209,3947
"Nigeria",2015-07-14,20,8
"Spain",2015-07-15,1,0
"Nigeria",2015-07-15,20,8
"Italy",2015-07-15,1,0
"United Kingdom",2015-07-15,1,0
"United States of America",2015-07-15,4,1
"Guinea",2015-07-15,3760,2506
"Liberia",2015-07-15,10666,4806
"Liberia",2015-07-15,10666,4806
"Mali",2015-07-15,8,6
"Sierra Leone",2015-07-15,13209,3947
"Senegal",2015-07-15,1,0
"Mali",2015-07-16,8,6
"Italy",2015-07-16,1,0
"Guinea",2015-07-16,3762,2506
"Liberia",2015-07-16,10666,4806
"Spain",2015-07-16,1,0
"United Kingdom",2015-07-16,1,0
"Senegal",2015-07-16,1,0
"United States of America",2015-07-16,4,1
"Liberia",2015-07-16,10666,4806
"Sierra Leone",2015-07-16,13209,3947
"Nigeria",2015-07-16,20,8
"United States of America",2015-07-17,4,1
"Liberia",2015-07-17,10666,4806
"United Kingdom",2015-07-17,1,0
"Guinea",2015-07-17,3770,2509
"Italy",2015-07-17,1,0
"Nigeria",2015-07-17,20,8
"Liberia",2015-07-17,10666,4806
"Mali",2015-07-17,8,6
"Spain",2015-07-17,1,0
"Senegal",2015-07-17,1,0
"Sierra Leone",2015-07-17,13209,3947
"Nigeria",2015-07-20,20,8
"Liberia",2015-07-20,10666,4806
"Senegal",2015-07-20,1,0
"Guinea",2015-07-20,3784,2511
"United Kingdom",2015-07-20,1,0
"United States of America",2015-07-20,4,1
"Liberia",2015-07-20,10666,4806
"Italy",2015-07-20,1,0
"Sierra Leone",2015-07-20,13241,3949
"Mali",2015-07-20,8,6
"Spain",2015-07-20,1,0
"Liberia",2015-07-21,10666,4806
"Guinea",2015-07-21,3783,2512
"United States of America",2015-07-21,4,1
"Sierra Leone",2015-07-21,13250,3949
"United Kingdom",2015-07-21,1,0
"Spain",2015-07-21,1,0
"Liberia",2015-07-21,10666,4806
"Senegal",2015-07-21,1,0
"Mali",2015-07-21,8,6
"Nigeria",2015-07-21,20,8
"Italy",2015-07-21,1,0
"Sierra Leone",2015-07-22,13250,3949
"Spain",2015-07-22,1,0
"Guinea",2015-07-22,3783,2512
"Nigeria",2015-07-22,20,8
"Italy",2015-07-22,1,0
"Liberia",2015-07-22,10666,4806
"Senegal",2015-07-22,1,0
"United States of America",2015-07-22,4,1
"Liberia",2015-07-22,10666,4806
"Mali",2015-07-22,8,6
"United Kingdom",2015-07-22,1,0
"United States of America",2015-07-23,4,1
"Spain",2015-07-23,1,0
"Sierra Leone",2015-07-23,13262,3949
"Guinea",2015-07-23,3788,2516
"Liberia",2015-07-23,10666,4806
"United Kingdom",2015-07-23,1,0
"Nigeria",2015-07-23,20,8
"Mali",2015-07-23,8,6
"Senegal",2015-07-23,1,0
"Liberia",2015-07-23,10666,4806
"Italy",2015-07-23,1,0
"United States of America",2015-07-24,4,1
"Liberia",2015-07-24,10666,4806
"Mali",2015-07-24,8,6
"Liberia",2015-07-24,10666,4806
"Sierra Leone",2015-07-24,13264,3949
"Italy",2015-07-24,1,0
"Senegal",2015-07-24,1,0
"Guinea",2015-07-24,3787,2517
"Nigeria",2015-07-24,20,8
"Spain",2015-07-24,1,0
"United Kingdom",2015-07-24,1,0
"Spain",2015-07-27,1,0
"Mali",2015-07-27,8,6
"Senegal",2015-07-27,1,0
"Nigeria",2015-07-27,20,8
"Liberia",2015-07-27,10666,4806
"United States of America",2015-07-27,4,1
"Guinea",2015-07-27,3792,2519
"United Kingdom",2015-07-27,1,0
"Italy",2015-07-27,1,0
"Liberia",2015-07-27,10666,4806
"Sierra Leone",2015-07-27,13283,3951
"United States of America",2015-07-28,4,1
"Spain",2015-07-28,1,0
"Mali",2015-07-28,8,6
"United Kingdom",2015-07-28,1,0
"Sierra Leone",2015-07-28,13290,3951
"Guinea",2015-07-28,3786,2520
"Nigeria",2015-07-28,20,8
"Senegal",2015-07-28,1,0
"Italy",2015-07-28,1,0
"Liberia",2015-07-28,10666,4806
"Liberia",2015-07-28,10666,4806
"Nigeria",2015-07-29,20,8
"Sierra Leone",2015-07-29,13290,3951
"Liberia",2015-07-29,10666,4806
"United States of America",2015-07-29,4,1
"Senegal",2015-07-29,1,0
"Liberia",2015-07-29,10666,4806
"Spain",2015-07-29,1,0
"Mali",2015-07-29,8,6
"United Kingdom",2015-07-29,1,0
"Italy",2015-07-29,1,0
"Guinea",2015-07-29,3786,2520
"Guinea",2015-07-30,3785,2521
"Senegal",2015-07-30,1,0
"Spain",2015-07-30,1,0
"Mali",2015-07-30,8,6
"Sierra Leone",2015-07-30,13379,3951
"Nigeria",2015-07-30,20,8
"Italy",2015-07-30,1,0
"United States of America",2015-07-30,4,1
