"Country","Date","Cases","Deaths"
"Guinea",2014-12-01,2155,1312
"United States of America",2014-12-01,4,1
"Mali",2014-12-03,8,6
"Spain",2014-12-03,1,0
"Guinea",2014-12-03,2164,1327
"Senegal",2014-12-03,1,0
"Sierra Leone",2014-12-03,7312,1583
"Liberia",2014-12-03,7635,3145
"United States of America",2014-12-03,4,1
"Nigeria",2014-12-03,20,8
"Spain",2014-12-10,1,0
"Guinea",2014-12-10,2292,1428
"Senegal",2014-12-10,1,0
"Mali",2014-12-10,8,6
"Liberia",2014-12-10,7719,3177
"Sierra Leone",2014-12-10,7897,1768
"Nigeria",2014-12-10,20,8
"United States of America",2014-12-10,4,1
"Spain",2014-12-15,1,0
"Nigeria",2014-12-15,20,8
"Guinea",2014-12-15,2394,1518
"United States of America",2014-12-15,4,1
"Mali",2014-12-15,8,6
"Liberia",2014-12-15,7797,3290
"Senegal",2014-12-15,1,0
"Sierra Leone",2014-12-15,8273,2033
"Nigeria",2014-12-17,20,8
"Senegal",2014-12-17,1,0
"Spain",2014-12-17,1,0
"Liberia",2014-12-17,7797,3290
"Mali",2014-12-17,8,6
"United States of America",2014-12-17,4,1
"Guinea",2014-12-17,2416,1525
"Sierra Leone",2014-12-17,8356,2085
"Spain",2014-12-22,1,0
"United States of America",2014-12-22,4,1
"Nigeria",2014-12-22,20,8
"Senegal",2014-12-22,1,0
"Guinea",2014-12-22,2571,1586
"Liberia",2014-12-22,7830,3376
"Mali",2014-12-22,8,6
"Sierra Leone",2014-12-22,8939,2556
"Sierra Leone",2014-12-23,9004,2582
"Mali",2014-12-23,8,6
"Spain",2014-12-23,1,0
"Liberia",2014-12-23,7830,3376
"Senegal",2014-12-23,1,0
"Guinea",2014-12-23,2597,1607
"Nigeria",2014-12-23,20,8
"United States of America",2014-12-23,4,1
"Nigeria",2014-12-24,20,8
"Senegal",2014-12-24,1,0
"Guinea",2014-12-24,2597,1607
"Sierra Leone",2014-12-24,9004,2582
"Spain",2014-12-24,1,0
"Mali",2014-12-24,8,6
"Liberia",2014-12-24,7862,3384
"United States of America",2014-12-24,4,1
"Senegal",2014-12-26,1,0
"Mali",2014-12-26,8,6
"Sierra Leone",2014-12-26,9203,2655
"United States of America",2014-12-26,4,1
"Nigeria",2014-12-26,20,8
"Guinea",2014-12-26,2630,1654
"Liberia",2014-12-26,7862,3384
"Spain",2014-12-26,1,0
"United States of America",2014-12-29,4,1
"Sierra Leone",2014-12-29,9409,2732
"Nigeria",2014-12-29,20,8
"Mali",2014-12-29,8,6
"Liberia",2014-12-29,7977,3413
"Guinea",2014-12-29,2695,1697
"Senegal",2014-12-29,1,0
"Spain",2014-12-29,1,0
"United States of America",2014-12-30,4,1
"Sierra Leone",2014-12-30,9446,2758
"Mali",2014-12-30,8,6
"Liberia",2014-12-30,7977,3413
"Guinea",2014-12-30,2706,1708
"Spain",2014-12-30,1,0
"Senegal",2014-12-30,1,0
"Nigeria",2014-12-30,20,8
"Spain",2014-12-31,1,0
"Senegal",2014-12-31,1,0
"Liberia",2014-12-31,8018,3423
"Sierra Leone",2014-12-31,9446,2758
"Mali",2014-12-31,8,6
"Nigeria",2014-12-31,20,8
"United States of America",2014-12-31,4,1
"Guinea",2014-12-31,2707,1709
"Nigeria",2015-01-02,20,8
"Spain",2015-01-02,1,0
"United States of America",2015-01-02,4,1
"Senegal",2015-01-02,1,0
"United Kingdom",2015-01-02,0,0
"Liberia",2015-01-02,8018,3423
"Sierra Leone",2015-01-02,9633,2827
"Mali",2015-01-02,8,6
"Guinea",2015-01-02,2730,1739
"Sierra Leone",2015-01-05,9772,2915
"Liberia",2015-01-05,8115,3471
"Spain",2015-01-05,1,0
"Nigeria",2015-01-05,20,8
"United Kingdom",2015-01-05,0,0
"Guinea",2015-01-05,2769,1767
"United States of America",2015-01-05,4,1
"Mali",2015-01-05,8,6
"Senegal",2015-01-05,1,0
"United Kingdom",2015-01-06,1,0
"Guinea",2015-01-06,2775,1781
"Sierra Leone",2015-01-06,9780,2943
"Liberia",2015-01-06,8157,3496
"Spain",2015-01-06,1,0
"United States of America",2015-01-06,4,1
"Senegal",2015-01-06,1,0
"Nigeria",2015-01-06,20,8
"Mali",2015-01-06,8,6
"Spain",2015-01-07,1,0
"Guinea",2015-01-07,2775,1781
"Senegal",2015-01-07,1,0
"Nigeria",2015-01-07,20,8
"United Kingdom",2015-01-07,1,0
"Mali",2015-01-07,8,6
"United States of America",2015-01-07,4,1
"Sierra Leone",2015-01-07,9780,2943
"Liberia",2015-01-07,8157,3496
"United Kingdom",2015-01-08,NA,0
"Mali",2015-01-08,NA,6
"Guinea",2015-01-08,2776,1786
"Sierra Leone",2015-01-08,10030,2977
"Liberia",2015-01-08,8166,3496
"Mali",2015-01-09,NA,6
"Guinea",2015-01-09,2793,1797
"United Kingdom",2015-01-09,NA,0
"Sierra Leone",2015-01-09,10030,2977
"Liberia",2015-01-09,8263,3515
"Liberia",2015-01-12,8278,3515
"United Kingdom",2015-01-12,NA,0
"Sierra Leone",2015-01-12,10094,3049
"Mali",2015-01-12,NA,6
"Guinea",2015-01-12,2799,1807
"United Kingdom",2015-01-13,NA,0
"Mali",2015-01-13,NA,6
"Guinea",2015-01-13,2799,1807
"Liberia",2015-01-13,8278,3515
"Sierra Leone",2015-01-13,10094,3049
"Liberia",2015-01-14,8331,3538
"United States of America",2015-01-14,4,1
"Senegal",2015-01-14,1,0
"Guinea",2015-01-14,2806,1814
"Spain",2015-01-14,1,0
"Nigeria",2015-01-14,20,8
"Sierra Leone",2015-01-14,10124,3062
"Mali",2015-01-14,8,6
"United Kingdom",2015-01-14,1,0
"Sierra Leone",2015-01-15,10150,3067
"Liberia",2015-01-15,8362,3556
"United States of America",2015-01-15,4,1
"Mali",2015-01-15,8,6
"Spain",2015-01-15,1,0
"Guinea",2015-01-15,2817,1821
"United Kingdom",2015-01-15,1,0
"Nigeria",2015-01-15,20,8
"Senegal",2015-01-15,1,0
"Spain",2015-01-16,1,0
"Nigeria",2015-01-16,20,8
